Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,127.28,127.28,125.65,127.08,54272200,126.55139
2015-02-12,126.06,127.48,125.57,126.46,74474500,125.93397
2015-02-11,122.77,124.92,122.50,124.88,73561800,124.36053
2015-02-10,120.17,122.15,120.16,122.02,62008500,121.51243
2015-02-09,118.55,119.84,118.43,119.72,38889800,119.222
2015-02-06,120.02,120.25,118.45,118.93,43372000,118.43529
2015-02-05,120.02,120.23,119.25,119.94,42246200,119.44109
2015-02-04,118.50,120.51,118.31,119.56,70149700,118.59462
2015-02-03,118.50,119.09,117.61,118.65,51915700,117.69197
2015-02-02,118.05,119.17,116.08,118.63,62739100,117.67213
2015-01-30,118.40,120.00,116.85,117.16,83745500,116.214
2015-01-29,116.32,119.19,115.56,118.90,84436400,117.93996
2015-01-28,117.63,118.12,115.31,115.31,146477100,114.37894
2015-01-27,112.42,112.48,109.03,109.14,95568700,108.25876
2015-01-26,113.74,114.36,112.80,113.10,55615000,112.18678
2015-01-23,112.30,113.75,111.53,112.98,46464800,112.06776
2015-01-22,110.26,112.47,109.72,112.40,53796400,111.49244
2015-01-21,108.95,111.06,108.27,109.55,48575900,108.66545
2015-01-20,107.84,108.97,106.50,108.72,49899900,107.84216
2015-01-16,107.03,107.58,105.20,105.99,78513300,105.13419
2015-01-15,110.00,110.06,106.66,106.82,60014000,105.95749
2015-01-14,109.04,110.49,108.50,109.80,48956600,108.91344
2015-01-13,111.43,112.80,108.91,110.22,67091900,109.33004
2015-01-12,112.60,112.63,108.80,109.25,49650800,108.36787
2015-01-09,112.67,113.25,110.21,112.01,53699500,111.10559
2015-01-08,109.23,112.15,108.70,111.89,59364500,110.98656
2015-01-07,107.20,108.20,106.70,107.75,40105900,106.87998
2015-01-06,106.54,107.43,104.63,106.26,65797100,105.40202
2015-01-05,108.29,108.65,105.41,106.25,64285500,105.3921
2015-01-02,111.39,111.44,107.35,109.33,53204600,108.44723
2014-12-31,112.82,113.13,110.21,110.38,41403400,109.48875
2014-12-30,113.64,113.92,112.11,112.52,29881500,111.61147
2014-12-29,113.79,114.77,113.70,113.91,27598900,112.99025
2014-12-26,112.10,114.52,112.01,113.99,33721000,113.0696
2014-12-24,112.58,112.71,112.01,112.01,14479600,111.10559
2014-12-23,113.23,113.33,112.46,112.54,26028400,111.63131
2014-12-22,112.16,113.49,111.97,112.94,45167500,112.02808
2014-12-19,112.26,113.24,111.66,111.78,88429800,110.87744
2014-12-18,111.87,112.65,110.66,112.65,59006200,111.74042
2014-12-17,107.12,109.84,106.82,109.41,53411800,108.52658
2014-12-16,106.37,110.16,106.26,106.75,60790700,105.88805
2014-12-15,110.70,111.60,106.35,108.23,67218100,107.35611
2014-12-12,110.46,111.87,109.58,109.73,56028100,108.844
2014-12-11,112.26,113.80,111.34,111.62,41401700,110.71873
2014-12-10,114.41,114.85,111.54,111.95,44565300,111.04607
2014-12-09,110.19,114.30,109.35,114.12,60208000,113.19855
2014-12-08,114.10,114.65,111.62,112.40,57664900,111.49244
2014-12-05,115.99,116.08,114.64,115.00,38318900,114.07144
2014-12-04,115.77,117.20,115.29,115.49,42044500,114.55749
2014-12-03,115.75,116.35,115.11,115.93,43063400,114.99393
2014-12-02,113.50,115.75,112.75,114.63,59075100,113.70443
2014-12-01,118.81,119.25,111.27,115.07,83814000,114.14088
2014-11-28,119.27,119.40,118.05,118.93,24814400,117.96971
2014-11-26,117.94,119.10,117.83,119.00,40768300,118.03915
2014-11-25,119.07,119.75,117.45,117.60,68840400,116.65045
2014-11-24,116.85,118.77,116.62,118.63,47450800,117.67213
2014-11-21,117.51,117.57,116.03,116.47,57179300,115.52958
2014-11-20,114.91,116.86,114.85,116.31,43395500,115.37086
2014-11-19,115.44,115.74,113.80,114.67,41869200,113.74411
2014-11-18,113.94,115.69,113.89,115.47,44224000,114.53765
2014-11-17,114.27,117.28,113.30,113.99,46746700,113.0696
2014-11-14,113.15,114.19,113.05,114.18,44063600,113.25806
2014-11-13,111.80,113.45,111.60,112.82,59522900,111.90904
2014-11-12,109.38,111.43,109.37,111.25,46942400,110.35172
2014-11-11,108.70,109.75,108.40,109.70,27442300,108.81423
2014-11-10,109.02,109.33,108.67,108.83,27195500,107.95126
2014-11-07,108.75,109.32,108.55,109.01,33691500,108.12981
2014-11-06,108.60,108.79,107.80,108.70,34968500,107.82231
2014-11-05,109.10,109.30,108.13,108.86,37435900,107.51482
2014-11-04,109.36,109.49,107.72,108.60,41574400,107.25803
2014-11-03,108.22,110.30,108.01,109.40,52282600,108.04815
2014-10-31,108.01,108.04,107.21,108.00,44639300,106.66544
2014-10-30,106.96,107.35,105.90,106.98,40654800,105.65805
2014-10-29,106.65,107.37,106.36,107.34,52687900,106.0136
2014-10-28,105.40,106.74,105.35,106.74,47939900,105.42101
2014-10-27,104.85,105.48,104.70,105.11,34187700,103.81116
2014-10-24,105.18,105.49,104.53,105.22,47053900,103.9198
2014-10-23,104.08,105.05,103.63,104.83,71074700,103.53461
2014-10-22,102.84,104.11,102.60,102.99,68263100,101.71735
2014-10-21,103.02,103.02,101.27,102.47,94623900,101.20378
2014-10-20,98.32,99.96,98.22,99.76,77517300,98.52727
2014-10-17,97.50,99.00,96.81,97.67,68179700,96.46309
2014-10-16,95.55,97.72,95.41,96.26,72154500,95.07052
2014-10-15,97.97,99.15,95.18,97.54,100933600,96.3347
2014-10-14,100.39,100.52,98.57,98.75,63688600,97.52975
2014-10-13,101.33,101.78,99.81,99.81,53583400,98.57664
2014-10-10,100.69,102.03,100.30,100.73,66331600,99.48528
2014-10-09,101.54,102.38,100.61,101.02,77376500,99.77169
2014-10-08,98.76,101.11,98.31,100.80,57404700,99.55442
2014-10-07,99.43,100.12,98.73,98.75,42094200,97.52975
2014-10-06,99.95,100.65,99.42,99.62,37051200,98.389
2014-10-03,99.44,100.21,99.04,99.62,43469600,98.389
2014-10-02,99.27,100.22,98.04,99.90,47757800,98.66553
2014-10-01,100.59,100.69,98.70,99.18,51491300,97.95443
2014-09-30,100.81,101.54,100.53,100.75,55264100,99.50504
2014-09-29,98.65,100.44,98.63,100.11,49766300,98.87294
2014-09-26,98.53,100.75,98.40,100.75,62370500,99.50504
2014-09-25,100.51,100.71,97.72,97.87,100092000,96.66062
2014-09-24,102.16,102.85,101.20,101.75,60171800,100.49268
2014-09-23,100.60,102.94,100.54,102.64,63402200,101.37167
2014-09-22,101.80,102.14,100.58,101.06,52788400,99.8112
2014-09-19,102.29,102.35,100.50,100.96,70902400,99.71244
2014-09-18,101.93,102.35,101.56,101.79,37299400,100.53218
2014-09-17,101.27,101.80,100.59,101.58,60926500,100.32478
2014-09-16,99.80,101.26,98.89,100.86,66908100,99.61367
2014-09-15,102.81,103.05,101.44,101.63,61316500,100.37415
2014-09-12,101.21,102.19,101.08,101.66,64096900,100.40379
2014-09-11,100.41,101.44,99.62,101.43,62353100,100.17663
2014-09-10,98.01,101.11,97.76,101.00,100869600,99.75195
2014-09-09,99.08,103.08,96.14,97.99,189846300,96.77914
2014-09-08,99.30,99.31,98.05,98.36,46356700,97.14457
2014-09-05,98.80,99.39,98.31,98.97,58457000,97.74703
2014-09-04,98.85,100.09,97.79,98.12,85718000,96.90753
2014-09-03,103.10,103.20,98.58,98.94,125421000,97.7174
2014-09-02,103.06,103.74,102.72,103.30,53564000,102.02353
2014-08-29,102.86,102.90,102.20,102.50,44595000,101.23341
2014-08-28,101.59,102.78,101.56,102.25,68460000,100.9865
2014-08-27,101.02,102.57,100.70,102.13,52369000,100.86798
2014-08-26,101.42,101.50,100.86,100.89,33152000,99.6433
2014-08-25,101.79,102.17,101.28,101.54,40270000,100.28527
2014-08-22,100.29,101.47,100.19,101.32,44184000,100.06799
2014-08-21,100.57,100.94,100.11,100.58,33478000,99.33714
2014-08-20,100.44,101.09,99.95,100.57,52699000,99.32726
2014-08-19,99.41,100.68,99.32,100.53,69399000,99.28775
2014-08-18,98.49,99.37,97.98,99.16,47572000,97.93468
2014-08-15,97.90,98.19,96.86,97.98,48951000,96.76926
2014-08-14,97.33,97.57,96.80,97.50,28116000,96.2952
2014-08-13,96.15,97.24,96.04,97.24,31916000,96.03841
2014-08-12,96.04,96.88,95.61,95.97,33795000,94.7841
2014-08-11,95.27,96.08,94.84,95.99,36585000,94.80385
2014-08-08,94.26,94.82,93.28,94.74,41865000,93.5693
2014-08-07,94.93,95.95,94.10,94.48,46711000,93.31252
2014-08-06,94.75,95.48,94.71,94.96,38558000,93.32239
2014-08-05,95.36,95.68,94.36,95.12,55933000,93.47963
2014-08-04,96.37,96.58,95.17,95.59,39958000,93.94152
2014-08-01,94.90,96.62,94.81,96.13,48511000,94.47221
2014-07-31,97.16,97.45,95.33,95.60,56843000,93.95135
2014-07-30,98.44,98.70,97.67,98.15,33010000,96.45737
2014-07-29,99.33,99.44,98.25,98.38,43143000,96.6834
2014-07-28,97.82,99.24,97.55,99.02,55318000,97.31237
2014-07-25,96.85,97.84,96.64,97.67,43469000,95.98565
2014-07-24,97.04,97.32,96.42,97.03,45729000,95.35669
2014-07-23,95.42,97.88,95.17,97.19,92918000,95.51393
2014-07-22,94.68,94.89,94.12,94.72,55197000,93.08652
2014-07-21,94.99,95.00,93.72,93.94,39079000,92.31998
2014-07-18,93.62,94.74,93.02,94.43,49988000,92.80153
2014-07-17,95.03,95.28,92.57,93.09,57298000,91.48463
2014-07-16,96.97,97.10,94.74,94.78,53502000,93.14549
2014-07-15,96.80,96.85,95.03,95.32,45477900,93.67618
2014-07-14,95.86,96.89,95.65,96.45,42810000,94.78669
2014-07-11,95.36,95.89,94.86,95.22,34018000,93.5779
2014-07-10,93.76,95.55,93.52,95.04,39686000,93.40101
2014-07-09,95.44,95.95,94.76,95.39,36436000,93.74497
2014-07-08,96.27,96.80,93.92,95.35,65222000,93.70566
2014-07-07,94.14,95.99,94.10,95.97,56468000,94.31497
2014-07-03,93.67,94.10,93.20,94.03,22891800,92.40842
2014-07-02,93.87,94.06,93.09,93.48,28465000,91.86791
2014-07-01,93.52,94.07,93.13,93.52,38223000,91.90722
2014-06-30,92.10,93.73,92.09,92.93,49589000,91.32739
2014-06-27,90.82,92.00,90.77,91.98,64029000,90.39378
2014-06-26,90.37,91.05,89.80,90.90,32629000,89.33241
2014-06-25,90.21,90.70,89.65,90.36,36869000,88.80172
2014-06-24,90.75,91.74,90.19,90.28,39036000,88.72309
2014-06-23,91.32,91.62,90.60,90.83,43694000,89.26361
2014-06-20,91.85,92.55,90.90,90.91,100898000,89.34223
2014-06-19,92.29,92.30,91.34,91.86,35528000,90.27585
2014-06-18,92.27,92.29,91.35,92.18,33514000,90.59033
2014-06-17,92.31,92.70,91.80,92.08,29726000,90.49206
2014-06-16,91.51,92.75,91.45,92.20,35561000,90.60998
2014-06-13,92.20,92.44,90.88,91.28,54525000,89.70585
2014-06-12,94.04,94.12,91.90,92.29,54749000,90.69843
2014-06-11,94.13,94.76,93.47,93.86,45681000,92.24136
2014-06-10,94.73,95.05,93.57,94.25,62777000,92.62463
2014-06-09,92.70,93.88,91.75,93.70,75415000,92.08411
2014-06-06,649.90002,651.26001,644.46997,645.57001,87484600,90.63386
2014-06-05,646.20007,649.37,642.60999,647.34998,75951400,90.88375
2014-06-04,637.44,647.88995,636.11005,644.82001,83870500,90.52856
2014-06-03,628.45996,638.73999,628.25,637.53998,73177300,89.50649
2014-06-02,633.95996,634.83002,622.50,628.64996,92337700,88.25838
2014-05-30,637.97998,644.17004,628.90002,633.00,141005200,88.86911
2014-05-29,627.85004,636.87,627.77002,635.38,94118500,89.20324
2014-05-28,626.02002,629.82996,623.77997,624.01001,78870400,87.60696
2014-05-27,615.88,625.85999,615.63,625.62994,87216500,87.8344
2014-05-23,607.25,614.72998,606.47003,614.13,58052400,86.21988
2014-05-22,606.59998,609.84998,604.10004,607.27002,50190000,85.25678
2014-05-21,603.83002,606.70001,602.06,606.30994,49214900,85.12199
2014-05-20,604.50995,606.40002,600.72998,604.70996,58709000,84.89737
2014-05-19,597.84998,607.33002,597.33002,604.59003,79438800,84.88052
2014-05-16,588.63,597.52997,585.40002,597.50995,69064100,83.88654
2014-05-15,594.69995,596.59998,588.03992,588.82001,57711500,82.66652
2014-05-14,592.42999,597.40002,591.73999,593.87,41601000,83.3755
2014-05-13,592.00,594.54004,590.69995,593.76001,39934300,83.36007
2014-05-12,587.48999,593.65997,587.40002,592.83002,53302200,83.2295
2014-05-09,584.53992,586.25,580.33002,585.53998,72899400,82.20602
2014-05-08,588.25,594.40997,586.40002,587.98999,57574300,82.55
2014-05-07,595.25,597.28998,587.73004,592.32996,70716100,82.6974
2014-05-06,601.79999,604.41003,594.40997,594.40997,93641100,82.9878
2014-05-05,590.13995,601.00,590.00,600.96002,71766800,83.90228
2014-05-02,592.34003,594.19995,589.71008,592.58002,47878600,82.73232
2014-05-01,592.00,594.79999,586.35999,591.47998,61012000,82.57873
2014-04-30,592.64001,599.42999,589.79999,590.08997,114160200,82.38467
2014-04-29,593.73999,595.97998,589.51001,592.32996,84344400,82.6974
2014-04-28,572.79999,595.75,572.55005,594.09003,167371400,82.94313
2014-04-25,564.52997,571.98999,563.95996,571.94,97568800,79.85068
2014-04-24,568.21002,570.00,560.72998,567.77002,189977900,79.26849
2014-04-23,529.06,531.12994,524.45001,524.75,98735000,73.26231
2014-04-22,528.31006,531.82996,526.50,531.69995,50640800,74.23262
2014-04-21,525.33997,532.13995,523.96002,531.17004,45637200,74.15863
2014-04-17,520.00,527.76001,519.20001,524.94,71083600,73.28884
2014-04-16,518.04999,521.09003,514.14001,519.01001,53691400,72.46093
2014-04-15,520.27002,521.63995,511.32999,517.96008,66622500,72.31434
2014-04-14,521.89996,522.16003,517.20996,521.67999,51418500,72.83369
2014-04-11,519.00,522.83002,517.13995,519.61005,67929400,72.5447
2014-04-10,530.68005,532.23999,523.16998,523.48004,59913000,73.085
2014-04-09,522.64001,530.48999,522.02002,530.32001,51542400,74.03996
2014-04-08,525.18994,526.12,518.70001,523.43994,60972100,73.07941
2014-04-07,528.02002,530.90002,521.88995,523.47003,72462600,73.08361
2014-04-04,539.80994,540.00,530.58002,531.82001,68812800,74.24938
2014-04-03,541.39001,542.50,537.63995,538.79004,40586000,75.22249
2014-04-02,542.38,543.47998,540.26001,542.54999,45105200,75.74743
2014-04-01,537.76001,541.87,536.77002,541.65002,50190000,75.62178
2014-03-31,539.23004,540.81,535.93005,536.73999,42167300,74.93627
2014-03-28,538.32007,538.94,534.25,536.86005,50141000,74.95303
2014-03-27,540.02002,541.50,535.12,537.45996,55507900,75.0368
2014-03-26,546.52002,549.00,538.86005,539.77997,74942000,75.3607
2014-03-25,541.50,545.75,539.59003,544.98999,70573300,76.08809
2014-03-24,538.41998,540.50,535.06,539.18994,88925200,75.27833
2014-03-21,531.92999,533.75,526.33002,532.87006,93511600,74.39598
2014-03-20,529.89001,532.66998,527.34998,528.70001,52099600,73.81378
2014-03-19,532.26001,536.23999,529.00,531.26001,56189000,74.1712
2014-03-18,525.90002,531.96997,525.20001,531.40002,52411800,74.19075
2014-03-17,527.69995,529.96997,525.84998,526.73999,49886200,73.54015
2014-03-14,528.78998,530.89001,523.00,524.69,59299800,73.25393
2014-03-13,537.43994,539.66003,529.16003,530.64996,64435700,74.08602
2014-03-12,534.50995,537.35004,532.00,536.60999,49831600,74.91813
2014-03-11,535.45001,538.73999,532.59003,536.09003,69806100,74.84554
2014-03-10,528.36005,533.33002,528.33997,530.91998,44646000,74.12373
2014-03-07,531.09003,531.97998,526.04999,530.43994,55182400,74.05671
2014-03-06,532.79004,534.44,528.10004,530.75,46372200,74.09999
2014-03-05,530.91998,534.75,529.13,532.35999,50015700,74.32477
2014-03-04,531.00,532.64001,527.77002,531.24005,64785000,74.16841
2014-03-03,523.42004,530.64996,522.81,527.76001,59695300,73.68255
2014-02-28,529.08002,532.75,522.12,526.23999,92992200,73.47033
2014-02-27,517.13995,528.78003,516.04999,527.67004,75470500,73.66998
2014-02-26,523.60999,525.00,515.59998,517.34998,69054300,72.22916
2014-02-25,529.37994,529.57007,521.00,522.06,57988000,72.88675
2014-02-24,523.14996,529.91998,522.42004,527.55005,72227400,73.65323
2014-02-21,532.79004,534.57001,524.60004,525.25,69696200,73.33212
2014-02-20,532.99005,537.00,529.00,531.15002,76464500,74.15584
2014-02-19,544.75,546.88995,534.34998,537.37,78442000,75.02424
2014-02-18,546.00,551.19,545.61005,545.98999,65062900,76.22771
2014-02-14,542.46997,545.97998,541.20996,543.98999,68231100,75.94848
2014-02-13,534.65997,544.84998,534.20007,544.42999,76849500,76.0099
2014-02-12,536.94995,539.56,533.23999,535.91998,77025200,74.82179
2014-02-11,530.60999,537.75,529.50,535.95996,70564200,74.82738
2014-02-10,518.66003,531.98999,518.00,528.98999,86389800,73.85427
2014-02-07,521.38,522.93005,517.38,519.67999,92570100,72.55447
2014-02-06,510.05994,513.50,507.81003,512.51001,64441300,71.55344
2014-02-05,506.55994,515.27997,506.25,512.58997,82086200,71.13879
2014-02-04,505.85004,509.45999,502.76001,508.79001,94170300,70.61141
2014-02-03,502.61002,507.73001,499.29999,501.52997,100366000,69.60384
2014-01-31,495.17999,501.52997,493.54999,500.60004,116199300,69.47478
2014-01-30,502.53998,506.49997,496.69995,499.77997,169625400,69.36098
2014-01-29,503.95001,507.37,498.62,500.75,125702500,69.4956
2014-01-28,508.76001,515.00,502.07001,506.49997,266380800,70.29359
2014-01-27,550.07001,554.79999,545.75,550.50,138719700,76.40005
2014-01-24,554.00,555.62006,544.75,546.07001,107338700,75.78525
2014-01-23,549.94,556.50,544.81,556.18005,100809800,77.18835
2014-01-22,550.91003,557.29004,547.81,551.51001,94996300,76.54022
2014-01-21,540.98999,550.07001,540.41998,549.06995,82131700,76.20159
2014-01-17,551.48004,552.07001,539.90002,540.66998,106684900,75.03581
2014-01-16,554.90002,556.85004,551.68005,554.25,57319500,76.92049
2014-01-15,553.52002,560.20001,551.65997,557.36005,97909700,77.35211
2014-01-14,538.22003,546.72998,537.65997,546.38995,83140400,75.82965
2014-01-13,529.91003,542.50,529.88,535.73004,94623200,74.35023
2014-01-10,539.82996,540.79999,531.11005,532.94006,76244000,73.96303
2014-01-09,546.80005,546.86005,535.34998,536.52002,69787200,74.45987
2014-01-08,538.81006,545.56,538.69,543.45996,64632400,75.42302
2014-01-07,544.32001,545.96008,537.91998,540.03998,79302300,74.94838
2014-01-06,537.45001,546.80005,533.59998,543.93005,103152700,75.48826
2014-01-03,552.86005,553.70001,540.43005,540.98004,98116900,75.07884
2014-01-02,555.67999,557.02997,552.02002,553.13,58671200,76.76505
