Date,Open,High,Low,Close,Volume
10/3/2016,68.080002,69.279999,66.870003,67.110001,10153600
10/4/2016,67.699997,67.699997,66.559998,66.68,9746400
10/5/2016,66.839996,67.419998,66.550003,66.839996,6362000
10/6/2016,66.800003,69.32,66.230003,67.540001,12957200
10/7/2016,67.529999,68.330002,67.489998,68.190002,8398100
10/10/2016,68.339996,68.580002,67.059998,67.25,7029800
10/11/2016,67,67.089996,65.449997,66.089996,8910600
10/12/2016,66.489998,66.489998,65.059998,66.059998,6615700
10/13/2016,65.550003,66.059998,64.300003,65.699997,7236600
10/14/2016,65.940002,66.589996,65.449997,65.699997,6743100
10/17/2016,65.529999,65.709999,65.089996,65.190002,6348200
10/18/2016,66.18,66.220001,65.57,66.099998,5913600
10/19/2016,65.879997,66.07,65.309998,65.790001,5414700
10/20/2016,65.480003,68.169998,65.480003,67.339996,13579000
10/21/2016,67.110001,69.440002,66.699997,67.93,19676600
10/24/2016,68.400002,68.449997,67.480003,68.059998,6669600
10/25/2016,67.900002,68.25,67.480003,67.709999,5370000
10/26/2016,67.309998,68.620003,67.25,68.199997,9241200
10/27/2016,70.800003,71.620003,70,70.089996,33941700
10/28/2016,70.519997,70.529999,67.660004,68.400002,17952700
10/31/2016,69,69.510002,68.68,68.720001,10108300
11/1/2016,69,69.349998,67.540001,68.339996,8910100
11/2/2016,68.459999,68.599998,67.029999,67.089996,15183000
11/3/2016,67.690002,68.57,65.93,66.949997,15642500
11/4/2016,65.739998,67.410004,65.739998,66.730003,8584300
11/7/2016,67.720001,68.580002,67.389999,68.459999,9205300
11/8/2016,68.220001,68.709999,67.629997,68.269997,6620500
11/9/2016,66.629997,68.089996,66.25,67.879997,11604400
11/10/2016,67.809998,68.209999,64.32,66.309998,17774400
11/11/2016,65.870003,67,65.839996,66.879997,10239800
11/14/2016,67.419998,67.419998,65.93,65.93,8149200
11/15/2016,66.260002,67.160004,65.949997,66.769997,9615200
11/16/2016,66.709999,66.709999,65.650002,66.300003,9485900
11/17/2016,66.440002,66.769997,66.160004,66.669998,6982500
11/18/2016,66.68,67.459999,65.940002,67.309998,9889300
11/21/2016,66.860001,67.199997,66.150002,67.099998,7868900
11/22/2016,67.57,68.599998,67.040001,68.309998,9803600
11/23/2016,68.330002,68.5,67.75,68.129997,4819300
11/25/2016,68.160004,68.419998,67.709999,68.290001,4200100
11/28/2016,67.419998,67.699997,66.800003,67.099998,8225200
11/29/2016,67.230003,67.540001,66.629997,66.769997,6544900
11/30/2016,66.800003,68.309998,66.5,68.129997,12470000
12/1/2016,67.720001,67.919998,63.779999,64.160004,16563900
12/2/2016,63.950001,66.330002,63.950001,65.839996,9687000
12/5/2016,66.379997,66.940002,65.690002,66.360001,8708200
12/6/2016,66.650002,67.480003,66.5,67.449997,6701800
12/7/2016,67.349998,68.339996,66.959999,68.339996,7202700
12/8/2016,68.419998,69.18,68.370003,68.550003,5552600
12/9/2016,68.610001,68.889999,67.800003,68.519997,5551800
12/12/2016,68.370003,68.650002,67.919998,68.470001,5615200
12/13/2016,68.720001,70.239998,68.489998,69.339996,8494200
12/14/2016,68.639999,69.18,67.349998,67.559998,9957700
12/15/2016,68.099998,68.769997,67.309998,68.029999,7162400
12/16/2016,68.489998,68.489998,66.300003,66.459999,17631800
12/19/2016,66.790001,67.43,66.639999,67.019997,7884700
12/20/2016,67.379997,67.559998,66.769997,66.910004,6685400
12/21/2016,67.07,67.349998,66.82,67.160004,5211400
12/22/2016,67.639999,67.75,66.459999,66.760002,5900200
12/23/2016,66.889999,66.940002,66.519997,66.860001,3039900
12/27/2016,67.139999,67.580002,67.059998,67.25,3028200
12/28/2016,66.650002,67.07,65.699997,65.75,6547200
12/29/2016,65.5,66.080002,65.419998,66.040001,3695400
12/30/2016,66.25,66.349998,65.040001,65.199997,5941900
1/3/2017,65.860001,66.139999,64.599998,65.400002,9519800
1/4/2017,65.669998,65.949997,65.260002,65.470001,6221700
1/5/2017,65.220001,65.980003,65.050003,65.550003,5998900
1/6/2017,65.480003,65.870003,64.860001,65.529999,6749400
1/9/2017,65.529999,66.269997,65.489998,65.650002,4702100
1/10/2017,65.949997,66.160004,65.57,65.629997,6076000
1/11/2017,65.75,66.110001,65.419998,66.099998,8349800
1/12/2017,65.349998,66.18,65.050003,66.120003,6113600
1/13/2017,66.25,67.080002,66.160004,66.879997,6177400
1/17/2017,66.709999,66.970001,63.150002,64.190002,22338800
1/18/2017,64.669998,66.089996,63.810001,65.129997,15883200
1/19/2017,64.970001,65.400002,64.360001,64.440002,9429200
1/20/2017,65.190002,65.739998,62.619999,62.880001,20936900
1/23/2017,58.669998,58.669998,53.77,54.880001,94436000
1/24/2017,55.02,55.77,54.700001,55,41751800
